x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
-20.0,-39.0,262.0,-2.7388,0.1353,-15.0,23.0,-44.0,100.0,441.0,-198.0,-0.9129,0.4081,-1.4178,-0.7451,-0.6669,-14.1014,0.3679,7.3891,3.0445,4.4721,-80.0,-780.0,20.0,-10.0,1.8259,-0.3726,-78.0,46.0,103.0,-115.0,-4.5647,1.2242,0.544,-0.8391,0.0092,3.091,20.0,-12.0,-1.4902,-10.9129,6.4081,0.0476,-10.9129,-6.4081,0.0,-8.0,-3.6269,2.7622,-1.0,-67.0
-19.8997,-38.7995,259.6993,-2.6026,0.1367,-14.8997,22.8997,-43.7995,98.9003,436.7995,-196.0,-0.8675,0.4974,-1.2376,-0.863,-0.5052,-14.1014,0.3697,7.3154,3.0397,4.4609,-78.803,-768.1304,19.8997,-9.8997,1.7263,-0.4315,-77.599,45.7995,102.0998,-113.8,-4.3376,1.4922,0.5013,-0.8653,0.0093,3.0865,19.8,-11.8,-1.726,-10.8174,6.4673,0.0478,-10.8174,-6.4673,0.0,-7.92,-3.5893,2.726,-1.0,-66.6992
-19.7995,-38.599,257.4086,-2.4401,0.1381,-14.7995,22.7995,-43.599,97.8065,432.6191,-194.0101,-0.8134,0.5817,-1.045,-0.9463,-0.3232,-14.1014,0.3716,7.2424,3.0349,4.4497,-77.618,-756.3807,19.7995,-9.7995,1.6105,-0.4732,-77.198,45.599,101.2035,-112.606,-4.0669,1.7452,0.4573,-0.8893,0.0095,3.0819,19.601,-11.601,-1.8927,-10.7131,6.5216,0.0481,-10.7131,-6.5216,0.0,-7.8404,-3.5522,2.6902,-1.0,-66.3985
-19.6992,-38.3985,255.1279,-2.2532,0.1395,-14.6992,22.6992,-43.3985,96.7189,428.4589,-192.0302,-0.7511,0.6602,-0.8419,-0.9917,-0.1282,-14.1014,0.3735,7.1701,3.0301,4.4384,-76.445,-744.7505,19.6992,-9.6992,1.4796,-0.4959,-76.797,45.3985,100.3113,-111.4181,-3.7554,1.9806,0.4122,-0.9111,0.0097,3.0773,19.403,-11.403,-1.9835,-10.6007,6.57,0.0483,-10.6007,-6.57,0.0,-7.7612,-3.5153,2.6548,-1.0,-66.0977
-19.599,-38.198,252.8573,-2.0437,0.1409,-14.599,22.599,-43.198,95.6372,424.3187,-190.0604,-0.6812,0.7321,-0.6304,-0.9974,0.0719,-14.1014,0.3753,7.0986,3.0252,4.4271,-75.2838,-733.2391,19.599,-9.599,1.3351,-0.4987,-76.396,45.198,99.4231,-110.2362,-3.4062,2.1962,0.366,-0.9306,0.0099,3.0726,19.206,-11.206,-1.9948,-10.4807,6.6118,0.0485,-10.4807,-6.6118,0.0,-7.6824,-3.4789,2.6197,-1.0,-65.797
-19.4987,-37.9975,250.5968,-1.8136,0.1423,-14.4987,22.4987,-42.9975,94.5616,420.1986,-188.1006,-0.6045,0.7966,-0.4125,-0.9631,0.2691,-14.1014,0.3772,7.0278,3.0204,4.4157,-74.1345,-721.8458,19.4987,-9.4987,1.1788,-0.4816,-75.995,44.9975,98.539,-109.0603,-3.0227,2.3897,0.3189,-0.9478,0.0101,3.068,19.0101,-11.0101,-1.9262,-10.3539,6.6462,0.0488,-10.3539,-6.6462,0.0,-7.604,-3.4428,2.585,-1.0,-65.4962
-19.3985,-37.797,248.3463,-1.5654,0.1437,-14.3985,22.3985,-42.797,93.492,416.0986,-186.1508,-0.5218,0.8531,-0.1905,-0.8902,0.4555,-14.1014,0.3791,6.9577,3.0155,4.4044,-72.9969,-710.5701,19.3985,-9.3985,1.0122,-0.4451,-75.594,44.797,97.6588,-107.8905,-2.6089,2.5592,0.271,-0.9626,0.0103,3.0633,18.8151,-10.8151,-1.7805,-10.221,6.6726,0.049,-10.221,-6.6726,0.0,-7.526,-3.407,2.5507,-1.0,-65.1955
-19.2982,-37.5965,246.1059,-1.3014,0.1452,-14.2982,22.2982,-42.5965,92.4284,412.0188,-184.2111,-0.4338,0.901,0.0334,-0.7817,0.6237,-14.1014,0.381,6.8883,3.0105,4.393,-71.871,-699.4114,19.2982,-9.2982,0.8371,-0.3908,-75.193,44.5965,96.7827,-106.7267,-2.1689,2.703,0.2225,-0.9749,0.0105,3.0586,18.6211,-10.6211,-1.5634,-10.0829,6.6905,0.0493,-10.0829,-6.6905,0.0,-7.4484,-3.3716,2.5167,-1.0,-64.8947
-19.198,-37.396,243.8755,-1.0243,0.1466,-14.198,22.198,-42.396,91.3709,407.959,-182.2815,-0.3414,0.9399,0.257,-0.6418,0.7668,-14.1014,0.3829,6.8196,3.0056,4.3816,-70.7567,-688.3691,19.198,-9.198,0.6555,-0.3209,-74.792,44.396,95.9106,-105.5689,-1.7072,2.8197,0.1733,-0.9849,0.0108,3.0539,18.4282,-10.4282,-1.2837,-9.9404,6.6993,0.0495,-9.9404,-6.6993,0.0,-7.3713,-3.3365,2.4831,-1.0,-64.594
-19.0977,-37.1955,241.6552,-0.7369,0.1481,-14.0977,22.0977,-42.1955,90.3194,403.9193,-180.3619,-0.2456,0.9694,0.4781,-0.4762,0.8793,-14.1014,0.3849,6.7516,3.0006,4.3701,-69.654,-677.4425,19.0977,-9.0977,0.4691,-0.2381,-74.391,44.1955,95.0425,-104.4172,-1.2282,2.9081,0.1238,-0.9923,0.011,3.0492,18.2362,-10.2362,-0.9525,-9.7945,6.6987,0.0498,-9.7945,-6.6987,0.0,-7.2945,-3.3017,2.4498,-1.0,-64.2932
