x,y
-20.0,254.0279
-19.8997,256.7024
-19.7995,257.4348
-19.6992,255.3628
-19.599,250.607
-19.4987,253.7111
-19.3985,243.0082
-19.2982,245.394
-19.198,244.477
-19.0977,244.2273
-18.9975,243.0029
-18.8972,231.6214
-18.797,227.3839
-18.6967,239.2627
-18.5965,232.3658
-18.4962,224.8017
-18.396,234.15
-18.2957,224.8326
-18.1955,228.0209
-18.0952,220.3421
-17.995,228.1985
-17.8947,224.5717
-17.7945,212.4605
-17.6942,216.4835
-17.594,212.783
-17.4937,214.3397
-17.3935,200.6225
-17.2932,206.8379
-17.193,206.6704
-17.0927,190.5652
-16.9925,191.4334
-16.8922,185.1543
-16.792,192.0142
-16.6917,194.9698
-16.5915,196.9248
-16.4912,187.8245
-16.391,193.6481
-16.2907,176.6656
-16.1905,173.1203
-16.0902,179.4406
-15.99,179.7299
-15.8897,175.7474
-15.7895,163.685
-15.6892,171.6979
-15.589,163.7526
-15.4887,171.7648
-15.3885,168.4009
-15.2882,160.0301
-15.188,160.3318
-15.0877,155.7867
-14.9875,158.9611
-14.8872,162.252
-14.787,150.7595
-14.6867,156.4302
-14.5865,149.4906
-14.4862,146.4195
-14.386,148.1007
-14.2857,141.7217
-14.1855,142.4018
-14.0852,137.4629
-13.985,151.5681
-13.8847,140.2231
-13.7845,134.8604
-13.6842,137.7513
-13.584,134.4522
-13.4837,132.2515
-13.3835,134.7797
-13.2832,133.859
-13.183,125.7915
-13.0827,123.9476
-12.9825,123.8442
-12.8822,112.1126
-12.782,114.4591
-12.6817,127.2923
-12.5815,127.1157
-12.4812,116.0886
-12.381,118.6696
-12.2807,115.8062
-12.1805,128.1175
-12.0802,116.8041
-11.9799,109.0599
-11.8797,103.425
-11.7794,98.6838
-11.6792,106.2567
-11.5789,99.9911
-11.4787,95.2051
-11.3784,97.637
-11.2782,94.0257
-11.1779,106.4428
-11.0777,100.9989
-10.9774,95.1446
-10.8772,101.188
-10.7769,92.7889
-10.6767,86.7195
-10.5764,97.2755
-10.4762,90.9984
-10.3759,81.7717
-10.2757,84.6703
-10.1754,79.918
-10.0752,76.0663
-9.9749,86.3054
-9.8747,89.9259
-9.7744,72.1003
-9.6742,80.6323
-9.5739,73.2987
-9.4737,72.8608
-9.3734,71.089
-9.2732,68.4956
-9.1729,71.8327
-9.0727,66.2201
-8.9724,70.5218
-8.8722,67.7231
-8.7719,65.5944
-8.6717,61.0762
-8.5714,61.5651
-8.4712,67.0709
-8.3709,64.6536
-8.2707,56.1263
-8.1704,60.3859
-8.0702,62.5313
-7.9699,49.3226
-7.8697,59.2917
-7.7694,52.1771
-7.6692,57.2686
-7.5689,49.5348
-7.4687,43.2721
-7.3684,43.1144
-7.2682,50.4581
-7.1679,50.4919
-7.0677,43.6574
-6.9674,50.3677
-6.8672,37.8729
-6.7669,44.8659
-6.6667,38.1671
-6.5664,39.999
-6.4662,42.5411
-6.3659,37.0581
-6.2657,38.5035
-6.1654,44.5339
-6.0652,35.7041
-5.9649,41.8633
-5.8647,31.1426
-5.7644,38.5565
-5.6642,42.2417
-5.5639,21.8121
-5.4637,29.3323
-5.3634,35.3587
-5.2632,30.6247
-5.1629,32.6723
-5.0627,26.9833
-4.9624,29.6329
-4.8622,27.6284
-4.7619,33.4625
-4.6617,28.1226
-4.5614,27.7754
-4.4612,23.275
-4.3609,22.1534
-4.2607,21.6957
-4.1604,25.1079
-4.0602,20.3179
-3.9599,23.169
-3.8596,31.4044
-3.7594,24.7004
-3.6591,18.042
-3.5589,25.0156
-3.4586,16.3167
-3.3584,7.524
-3.2581,12.0418
-3.1579,7.1059
-3.0576,14.09
-2.9574,15.3374
-2.8571,23.0352
-2.7569,15.7055
-2.6566,12.4033
-2.5564,17.0838
-2.4561,1.3291
-2.3559,13.0209
-2.2556,15.1652
-2.1554,3.3961
-2.0551,15.996
-1.9549,11.4679
-1.8546,7.2073
-1.7544,11.966
-1.6541,19.684
-1.5539,8.7783
-1.4536,8.6585
-1.3534,4.6792
-1.2531,2.2953
-1.1529,10.2749
-1.0526,1.4315
-0.9524,5.6685
-0.8521,2.5312
-0.7519,6.9332
-0.6516,5.8355
-0.5514,8.9938
-0.4511,0.9051
-0.3509,1.7648
-0.2506,-2.1105
-0.1504,0.241
-0.0501,4.0381
0.0501,5.6358
0.1504,-3.0506
0.2506,5.6276
0.3509,7.7871
0.4511,2.8155
0.5514,9.8819
0.6516,-3.6115
0.7519,-6.1963
0.8521,-9.0869
0.9524,7.0766
1.0526,2.668
1.1529,-1.072
1.2531,0.4256
1.3534,-6.7718
1.4536,10.9244
1.5539,-0.8083
1.6541,-1.0474
1.7544,1.9046
1.8546,0.561
1.9549,-0.8344
2.0551,-6.006
2.1554,0.214
2.2556,7.1872
2.3559,4.4345
2.4561,5.6138
2.5564,-4.9577
2.6566,-7.3891
2.7569,-3.0994
2.8571,-2.2112
2.9574,2.9719
3.0576,-10.9607
3.1579,5.1602
3.2581,-3.2567
3.3584,-4.5702
3.4586,-7.4553
3.5589,-10.6181
3.6591,1.8331
3.7594,-1.8451
3.8596,-8.5803
3.9599,-8.5147
4.0602,-3.617
4.1604,6.5184
4.2607,-3.0033
4.3609,-9.0897
4.4612,-2.6612
4.5614,-2.6446
4.6617,-14.6039
4.7619,-1.2193
4.8622,-1.9209
4.9624,2.9066
5.0627,8.8721
5.1629,5.4719
5.2632,-1.2835
5.3634,-5.2398
5.4637,13.4016
5.5639,1.0829
5.6642,1.1185
5.7644,1.2004
5.8647,2.5936
5.9649,1.1736
6.0652,-0.6707
6.1654,-0.2244
6.2657,2.6685
6.3659,0.4476
6.4662,-0.0571
6.5664,4.3918
6.6667,2.9473
6.7669,12.1148
6.8672,-8.2774
6.9674,10.8277
7.0677,12.0034
7.1679,-4.1812
7.2682,4.8952
7.3684,5.1843
7.4687,0.447
7.5689,4.0484
7.6692,2.8477
7.7694,17.6351
7.8697,14.0353
7.9699,16.2079
8.0702,13.9617
8.1704,5.2214
8.2707,8.7674
8.3709,14.3703
8.4712,6.3563
8.5714,16.5854
8.6717,12.3823
8.7719,12.2835
8.8722,18.2961
8.9724,17.5563
9.0727,14.1339
9.1729,22.3492
9.2732,11.7711
9.3734,20.89
9.4737,21.4198
9.5739,17.5606
9.6742,21.403
9.7744,14.1909
9.8747,25.7508
9.9749,20.9004
10.0752,19.9155
10.1754,28.4885
10.2757,20.4461
10.3759,17.6599
10.4762,17.6636
10.5764,29.2313
10.6767,20.5637
10.7769,36.5144
10.8772,18.1154
10.9774,37.8021
11.0777,31.1797
11.1779,30.4558
11.2782,29.0397
11.3784,34.5949
11.4787,33.256
11.5789,39.8157
11.6792,35.7354
11.7794,36.7909
11.8797,35.1065
11.9799,37.535
12.0802,40.264
12.1805,31.0895
12.2807,33.8248
12.381,45.2175
12.4812,43.3009
12.5815,42.4822
12.6817,44.4599
12.782,47.0812
12.8822,43.6302
12.9825,43.4332
13.0827,49.3097
13.183,44.4544
13.2832,52.4134
13.3835,42.8952
13.4837,57.5999
13.584,55.8731
13.6842,55.8563
13.7845,60.5658
13.8847,65.0658
13.985,62.9065
14.0852,49.7366
